Urutan,Name,Binding Energy
228,Tricyclohumuladiol,-6.69
229,Oenin,-6.68
230,Baicalein,-6.63
231,Eleutherin,-6.63
232,9-O-Methl-4-hydroxyboeravinone B,-6.61
233,Vitexin 7-O-glucoside,-6.6
234,Torvanol A,-6.6
235,3'-Deoxysappanone B,-6.58
236,beta-Lapachone,-6.58
237,Barlerin,-6.57
238,Verbascoside,-6.56
239,"[1aR-(1aalpha,2alpha,4aalpha,7alpha,8aS)]-Octahydro-1a,4a-dimethyl-7-(1-methylethenyl)-3H-naphth[1,8a-b]oxiren-2-ol",-6.56
240,"cyanidin-3,5-diglucoside",-6.52
241,Azadirachtin A,-6.48
242,alpha-Rotunol,-6.47
243,Guibourtinidol,-6.44
244,Kandelin B1,-6.4
245,Oxycurcumenol,-6.4
246,Seselin,-6.39
247,Petunin,-6.37
248,Peonin,-6.37
249,(+)-beta-Rotunol,-6.36
250,Paederosidic acid,-6.35
251,Kaempferol 3-(6G-malonylneohesperidoside),-6.32
252,Rhamnetin 3-mannosyl-(1-2)-alloside,-6.27
253,Allokhusiol,-6.24
254,Cyanidin 3-(6''-malonyllaminaribioside),-6.21
255,Quercetin 3-2G-rhamnosylrutinoside,-6.2
256,Cyanidin 3-(6''-malonylglucoside)-5-glucoside,-6.2
257,1-Methoxyspirobrassinin,-6.16
258,Lumichrome,-6.16
259,Cyanidin 3-sophoroside-5-glucoside,-6.14
260,Cyanidin 3-(6''-malonylglucoside),-6.14
261,5-Carboxypyranocyanidin 3-O-beta-glucopyranoside,-6.12
262,Agmatine,-6.12
263,Delphinidin 3-(2-rhamnosyl-6-malonylglucoside),-6.11
264,Oxycoccicyanin,-6.11
265,Ipomoeamarone,-6.11
266,5-Carboxypyranocyanidin 3-O-(6''-O-malonyl-beta-glucopyranoside),-6.1
267,"6-Hydroxykaempferol 3,6,7-triglucoside",-6.03
268,Limocitrol 3-neohesperidoside,-6.03
269,Flavokawin B,-6.03
270,6alpha-Hydroxyadoxoside,-6.01
271,Quercetin 3-sophoroside-7-glucoside,-6
272,Paederosidic acid methyl ester,-5.99
273,Psoralen,-5.87
274,Vasicinone,-5.75
275,Delphin,-5.73
276,Isovitexin 2''-O-(6'''-(E)-feruloyl)glucoside 4'-O-glucoside,-5.73
277,Kaempferol 3-O-sophoroside 7-O-beta-D-glucopyranoside(-)-Kaempferol 3-O-sophoroside 7-O-beta-D-glucopyranoside,-5.73
278,Betanidine,-5.69
279,Asimicin,-5.67
280,Omphalocarpin,-5.67
281,Delphinidin 3-(6''-malonylglucoside),-5.66
282,Sinapoylcholine,-5.63
283,Theviridoside,-5.58
284,Majoroside,-5.57
285,Secoxyloganin,-5.57
286,Casuarinin,-5.56
287,Quercetin 3-glucosyl-(1-2)-galactosyl-(1-2)-glucoside,-5.54
288,Kaempferol 3-glucosyl-(1-2)-galactosyl-(1-2)-glucoside,-5.51
289,Camelliaside C,-5.51
290,Luteolin 7-O-(2-apiofuranosyl-4-glucopyranosyl-6-malonyl)glucopyranoside,-5.5
291,Umbelliferone,-5.49
292,Isovitexin 2''-O-(6'''-(E)-p-coumaroyl)glucoside 4'-O-glucoside,-5.48
293,Murracarpin,-5.48
294,hypaphorine,-5.48
295,Safflomin C,-5.47
296,Asperulosidic acid,-5.44
297,Vasicine,-5.41
298,Abrussaponin II,-5.4
299,Glucobrassicin,-5.33
300,Scopoletine,-5.33
301,Pseudopelletierine,-5.22
302,"8-Hydroxyapigenin 8-(2'',4''-disulfatoglucuronide)",-5.16
303,Scandoside methyl ester,-5.16
304,Ferulic acid methyl ester,-5.15
305,Peonidin 3-sophoroside-5-glucoside,-5.12
306,Miraxanthin-V,-5.07
307,Sylvestroside I,-5.06
308,Coumarin,-5.05
309,Terpene,-5.05
310,Cantleyoside,-5.04
311,Murrayacarpin A,-5.03
312,2-Phenylethylglucosinolate,-5.02
313,Hydroxysafflor yellow A,-4.95
314,Kaempferol 3-glucosyl-(1-4)(6'''-sinapylglucosyl)(1-2)-galactoside,-4.81
315,rehmannioside D,-4.81
316,Quercetin 3-sophoroside-7-glucuronide,-4.81
317,Multiroside,-4.71
318,Pycnarrhine,-4.69
319,Casuarictin,-4.67
320,Dehydromatricaria ester,-4.67
321,"Isoscutellarein 4'-methyl ether 8-(2'',4''-disulfatoglucuronide)",-4.63
322,Squamocin,-4.57
323,Quercetin 3-(2G-rhamnosylrutinoside),-4.56
324,6-Hydroxykaempferol 3-rutinoside-6-glucoside,-4.52
325,Shazhiside,-4.48
326,Scopoline,-4.46
327,Caffeine,-4.43
328,Quercetin 3-(6''''-feruloylglucosyl)-(1-2)-galactosyl-(1-2)-glucoside,-4.35
329,Acetovanillone,-4.34
330,"Cyanidin 3,5-di-(6-malonylglucoside)",-4.19
331,Indicaxanthin,-4
332,Hippuric acid,-3.97
333,Kaempferol 3-sophoroside-7-glucuronide,-3.86
334,"Cyanidin 3-(3'',6''-dimalonylglucoside)",-3.85
335,Trigonelloside C,-3.82
336,Shikimic acid 3-phosphate,-3.48
337,Cyanidin 3-[6-(6-ferulylglucosyl)-2-xylosylgalactoside],-3.43
338,Cyanidin 3-(6''-caffeylsophoroside)-5-glucoside,-3.34
339,Cyanidin 7-(3-glucosyl-6-malonylglucoside)-4'-glucoside,-3.18
340,Precarthamin,-2.93
341,Choline,-2.8
342,Cyanidin 3-(3-glucosyl-6-malonylglucoside)-4'-glucoside,-2.62
343,Miraxanthin-I,-2.54
344,Betaine,-2.39
345,Punicalin,-2.14
346,Peonidin 3-ferulyldiglucoside-5-glucoside,-2.06
347,Miraxanthin-II,-2.01
348,Cyanidin 3-[6-(6-sinapylglucosyl)-2-xylosylgalactoside],-1.77
349,[Epicatechin-(4beta-8)]2-epicatechin-(4beta-6)-catechin,-1.46
350,Samarangenin B,-1.02
351,Theasaponin E2,-0.17
352,Theasaponin E1,1.01
353,Theasaponin,1.22
354,Arecatannin A2,1.43
355,Punicalagin,9.93
356,Guajavin B,93.73
357,Eugenigrandin A,142.72
358,Anhydrosafflor yellow B,N/A
359,Capsicoside A,N/A
360,"Delphinidin 3-(6-malonylglucoside)-3',5'-di-(6-p-coumaroylglucoside)",N/A
361,Kaempferol 3-(2''''-sinapylglucosyl)(1-4)(6'''-sinapylglucosyl)(1-2)-galactoside,N/A
362,Myristin,N/A
363,Operculinic acid,N/A
364,Safflor yellow B,N/A
365,Woodfordin A,N/A
366,Woodfordin B,N/A
367,Woodfordin C,N/A
368,Woodfordin D,N/A
